id,customer_id,order_date,due_date,ship_date,status,total_amount,shipping_fee,discount_amount,final_amount,payment_method,payment_status
1,375,2025-02-17,2025-02-22,9999-12-31,cancelled,1911145,46000,52000,1905145,cod,refunded
2,468,2024-11-16,2024-11-25,2024-11-18,delivered,1709834,44000,42000,1711834,cod,paid
3,95,2025-06-17,2025-06-25,9999-12-31,pending,3832239,14000,32000,3814239,cod,refunded
4,605,2025-03-02,2025-03-10,9999-12-31,confirmed,1923402,15000,59000,1879402,cod,refunded
5,193,2025-09-05,2025-09-12,9999-12-31,confirmed,1596373,21000,92000,1525373,cod,refunded
6,925,2025-04-25,2025-05-03,9999-12-31,confirmed,746058,21000,44000,723058,cod,paid
7,741,2024-07-06,2024-07-13,9999-12-31,confirmed,678572,33000,51000,660572,cod,refunded
8,38,2025-06-29,2025-07-06,9999-12-31,cancelled,909273,40000,24000,925273,cod,paid
9,550,2025-02-11,2025-02-17,9999-12-31,cancelled,303091,15000,59000,259091,cod,paid
10,650,2024-07-23,2024-07-31,2024-07-24,delivered,2136945,27000,28000,2135945,cod,paid
11,963,2025-05-04,2025-05-12,2025-05-06,delivered,1196929,40000,50000,1186929,cod,paid
12,719,2025-05-16,2025-05-25,2025-05-17,delivered,1119087,46000,22000,1143087,cod,paid
13,120,2024-12-22,2024-12-31,2024-12-24,delivered,2482327,42000,77000,2447327,cod,paid
14,846,2025-04-25,2025-05-05,2025-04-27,delivered,2002867,42000,33000,2011867,cod,paid
15,862,2024-11-29,2024-12-09,2024-11-30,delivered,1960874,14000,77000,1897874,cod,paid
16,433,2024-10-27,2024-11-06,9999-12-31,confirmed,1017858,38000,15000,1040858,cod,failed
17,75,2024-08-24,2024-09-01,2024-08-27,delivered,678572,26000,72000,632572,cod,paid
18,73,2024-07-16,2024-07-26,2024-07-18,shipping,2959037,10000,97000,2872037,cod,paid
19,410,2025-04-14,2025-04-21,9999-12-31,pending,2441352,18000,27000,2432352,cod,paid
20,520,2024-11-05,2024-11-12,9999-12-31,pending,678572,28000,59000,647572,cod,paid
21,175,2024-12-15,2024-12-24,9999-12-31,pending,1282302,17000,70000,1229302,cod,paid
22,371,2025-08-25,2025-09-01,9999-12-31,confirmed,3122450,10000,19000,3113450,cod,paid
23,296,2024-07-13,2024-07-20,2024-07-14,delivered,678572,30000,67000,641572,cod,paid
24,814,2024-08-17,2024-08-23,9999-12-31,cancelled,2540318,41000,13000,2568318,cod,pending
