id,order_id,product_id,product_option_id,quantity,unit_price,total_price
1,1,4,15,1,373029,373029
2,1,7,22,1,46000,46000
3,1,4,15,2,373029,746058
4,1,5,17,2,373029,746058
5,2,1,5,1,339286,339286
6,2,6,19,1,251461,251461
7,2,5,16,3,373029,1119087
8,3,9,26,3,373029,1119087
9,3,1,4,3,339286,1017858
10,3,2,8,3,565098,1695294
11,4,5,17,3,373029,1119087
12,4,1,2,1,339286,339286
13,4,7,22,2,46000,92000
14,4,5,17,1,373029,373029
15,5,1,4,1,339286,339286
16,5,4,14,3,373029,1119087
17,5,7,22,3,46000,138000
18,6,5,16,2,373029,746058
19,7,1,3,2,339286,678572
20,8,10,27,3,303091,909273
21,9,10,31,1,303091,303091
22,10,1,3,1,339286,339286
23,10,1,3,2,339286,678572
24,10,4,15,3,373029,1119087
25,11,10,28,2,303091,606182
26,11,6,20,1,251461,251461
27,11,1,2,1,339286,339286
28,12,4,13,3,373029,1119087
29,13,1,2,3,339286,1017858
30,13,10,31,1,303091,303091
31,13,9,25,2,373029,746058
32,13,3,9,2,207660,415320
33,14,3,9,1,207660,207660
34,14,10,29,1,303091,303091
35,14,8,24,2,373029,746058
36,14,4,13,2,373029,746058
37,15,1,4,1,339286,339286
38,15,4,15,1,373029,373029
39,15,1,1,1,339286,339286
40,15,10,27,3,303091,909273
41,16,1,1,3,339286,1017858
42,17,1,4,1,339286,339286
43,17,1,4,1,339286,339286
44,18,3,12,2,207660,415320
45,18,1,3,2,339286,678572
46,18,8,23,3,373029,1119087
47,18,5,16,2,373029,746058
48,19,9,26,2,373029,746058
49,19,2,8,3,565098,1695294
50,20,1,5,2,339286,678572
51,21,10,32,3,303091,909273
52,21,8,23,1,373029,373029
53,22,6,20,2,251461,502922
54,22,6,19,3,251461,754383
55,22,5,16,3,373029,1119087
56,22,5,18,2,373029,746058
57,23,1,4,2,339286,678572
58,24,10,32,2,303091,606182
59,24,2,6,1,565098,565098
60,24,3,9,3,207660,622980
61,24,4,15,2,373029,746058
62,25,2,8,2,565098,1130196
63,25,3,10,1,207660,207660
64,26,10,29,3,303091,909273
65,26,10,30,1,303091,303091
66,27,10,32,1,303091,303091
67,28,5,18,3,373029,1119087
68,28,9,25,2,373029,746058
69,28,2,6,1,565098,565098
70,29,9,25,2,373029,746058
71,29,1,2,2,339286,678572
72,29,9,25,2,373029,746058
73,30,4,15,1,373029,373029
74,31,3,12,3,207660,622980
75,31,10,28,3,303091,909273
76,31,1,4,3,339286,1017858
77,31,6,20,1,251461,251461
